Metric,0,1,2,3,4,5
0,Training Set,,,,,
Fold,1.00,2.00,3.00,4.00,5.00,Average
Accuracy,0.77,0.80,0.80,0.79,0.83,0.80
Sensitivity(TPR),0.76,0.78,0.78,0.78,0.81,0.78
Specificity(TNR),0.78,0.83,0.82,0.80,0.85,0.82
PPV,0.78,0.83,0.81,0.80,0.84,0.81
NPV,0.76,0.78,0.78,0.78,0.81,0.78
0,Testing Set,,,,,
Fold,1.00,2.00,3.00,4.00,5.00,Average
Accuracy,0.85,0.76,0.79,0.79,0.64,0.76
Sensitivity(TPR),0.88,0.75,0.76,0.82,0.65,0.77
Specificity(TNR),0.82,0.76,0.81,0.75,0.62,0.76
PPV,0.83,0.75,0.81,0.78,0.65,0.76
NPV,0.88,0.76,0.76,0.80,0.62,0.77
