Bit_name,Structure,SMILES,Chemical_name,Correlation_Coefficient
Bit_875,ccc,COC1=C(O)C=CC(CC=C)=C1,Eugenol,0.4545754721974469
Bit_1607,cc(c)O,CC(C)c1ccc(C)cc1O,Thymol,0.4450478995009884
Bit_1750,ccc,CC(C)c1ccc(C)cc1,para-Cymene,0.4334900189513166
Bit_1602,cO,COC1=C(O)C=CC(CC=C)=C1,Eugenol,0.4228431221617966
Bit_1365,cc(c)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3485174753060874
Bit_1853,cccc(c)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3485174753060874
Bit_1930,ccc(cc)C(C)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3445662036907694
Bit_741,ccc(O)c(c)C,CC(C)c1ccc(C)c(O)c1,Carvacrol,0.3337325828875461
Bit_1309,CC,CC(C)[C@H]1CC[C@H](C)CC1=O,Menthone,-0.189118651062558
Bit_1574,CCC=C(C)C,CC(C)=CCC\C(C)=C\C=O,Geranial,-0.2097076816446464
Bit_383,C[C@@H]1C[C@H](C)C1(C)C,CC1=CC[C@@H]2C[C@H]1C2(C)C,alpha-Pinene,-0.3260273247839167
Bit_1950,CC(C)C,CC1(C)C2CC1C(=C)CC2,beta-Pinene,-0.3375886836934361
Bit_171,C=C(C)C,[H][C@@]12C3C(C)=CC[C@]1([H])[C@]3(C)CC[C@H]2C(C)C,alpha-Copaene,-0.3418724019823638
Bit_549,CC(C)(C)C,CC1=CCC2C(C1)C2(C)C,delta-3-Carene,-0.4134251191745194
