,Bit_875,Bit_549,Bit_1607,Bit_383,Bit_1602,Bit_1750,Bit_1365,Bit_1930,Bit_1853,Bit_1950,Bit_171,Bit_741,Bit_1574,Bit_1309
Bit_875,1.0,-0.20277443376006324,0.9790407241939351,-0.16540812872742588,0.9582179713063178,0.6470178587328806,0.5977354994948373,0.7069707458398681,0.5977354994948373,-0.17028534960462988,-0.15540680856240832,0.7341631990706874,-0.1810312507461659,-0.11015650386733643
Bit_549,-0.20277443376006324,1.0,-0.19852442847646748,0.815724771906641,-0.20277443376006327,-0.2624685457587895,-0.1549330857157616,-0.153702126752458,-0.1549330857157616,0.7896322462234926,0.7125628557144679,-0.14886952697903527,-0.1956771220301849,0.11073370149124057
Bit_1607,0.9790407241939351,-0.19852442847646748,1.0,-0.16194129413686273,0.9790407241939354,0.6669453152333449,0.6133540372670812,0.7224832160856586,0.6133540372670812,-0.1667162919965343,-0.1521495943996085,0.7498801438266419,-0.17146354915287323,-0.10784770332094898
Bit_383,-0.16540812872742588,0.815724771906641,-0.16194129413686273,1.0,-0.16540812872742583,-0.2020143647664,-0.11141073995130031,-0.12537863228671445,-0.11141073995130031,0.9713585408931074,0.8147152555864694,-0.1214365609388231,-0.15232493532249397,-0.08607748346702292
Bit_1602,0.9582179713063178,-0.20277443376006327,0.9790407241939354,-0.16540812872742583,1.0,0.6470178587328808,0.5977354994948373,0.7069707458398683,0.5977354994948373,-0.17028534960462988,-0.15540680856240835,0.7341631990706873,-0.14800796764301918,-0.040095279185428975
Bit_1750,0.6470178587328806,-0.2624685457587895,0.6669453152333449,-0.2020143647664,0.6470178587328808,1.0,0.6669453152333447,0.5163642286526214,0.6669453152333447,-0.21007090645630766,-0.18529032875056253,0.5001290489116854,-0.23777719554388654,-0.10434743176977744
Bit_1365,0.5977354994948373,-0.1549330857157616,0.6133540372670812,-0.11141073995130031,0.5977354994948373,0.6669453152333447,1.0,0.7742227388942085,1.0,-0.11729681972613301,-0.09908902156277022,0.7498801438266414,-0.20494937169331678,-0.03680516859365724
Bit_1930,0.7069707458398681,-0.153702126752458,0.7224832160856586,-0.12537863228671445,0.7069707458398683,0.5163642286526214,0.7742227388942085,1.0,0.7742227388942086,-0.12907554420784328,-0.11779767569770787,0.9685586668478198,-0.14139280705945514,-0.08349814424859518
Bit_1853,0.5977354994948373,-0.1549330857157616,0.6133540372670812,-0.11141073995130031,0.5977354994948373,0.6669453152333447,1.0,0.7742227388942086,1.0,-0.11729681972613301,-0.09908902156277022,0.7498801438266414,-0.20494937169331678,-0.03680516859365724
Bit_1950,-0.17028534960462988,0.7896322462234926,-0.1667162919965343,0.9713585408931074,-0.17028534960462988,-0.21007090645630766,-0.11729681972613301,-0.12907554420784328,-0.11729681972613301,1.0,0.8515880027638889,-0.12501723702060555,-0.1628985162486745,-0.088615562475911
Bit_171,-0.15540680856240832,0.7125628557144679,-0.1521495943996085,0.8147152555864694,-0.15540680856240835,-0.18529032875056253,-0.09908902156277022,-0.11779767569770787,-0.09908902156277022,0.8515880027638889,1.0,-0.11409395973154364,-0.17141241967982157,-0.08087285127768627
Bit_741,0.7341631990706874,-0.14886952697903527,0.7498801438266419,-0.1214365609388231,0.7341631990706873,0.5001290489116854,0.7498801438266414,0.9685586668478198,0.7498801438266414,-0.12501723702060555,-0.11409395973154364,1.0,-0.13005419051288786,-0.08087285127768623
Bit_1574,-0.1810312507461659,-0.1956771220301849,-0.17146354915287323,-0.15232493532249397,-0.14800796764301918,-0.23777719554388654,-0.20494937169331678,-0.14139280705945514,-0.20494937169331678,-0.1628985162486745,-0.17141241967982157,-0.13005419051288786,1.0,-0.1247590225276586
Bit_1309,-0.11015650386733643,0.11073370149124057,-0.10784770332094898,-0.08607748346702292,-0.040095279185428975,-0.10434743176977744,-0.03680516859365724,-0.08349814424859518,-0.03680516859365724,-0.088615562475911,-0.08087285127768627,-0.08087285127768623,-0.1247590225276586,1.0
